Release 8.1i - Fit L.33
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 9-25-2012 10:21AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  main.ngd
output file: main_pad.csv
Part type:   xc95288xl
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P69,SWITCH<1>,I,I/O,INPUT,,,,,,,,,
P70,SWITCH<0>,I,I/O,INPUT,,,,,,,,,
P71,DEBUG_11,O,I/O,OUTPUT,,,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,VCC,,VCCIO,,,,,,,,,,
P74,DEBUG_5,O,I/O,OUTPUT,,,,,,,,,
P75,DEBUG_4,O,I/O,OUTPUT,,,,,,,,,
P76,DEBUG_3,O,I/O,OUTPUT,,,,,,,,,
P77,DEBUG_2,O,I/O,OUTPUT,,,,,,,,,
P78,DEBUG_1,O,I/O,OUTPUT,,,,,,,,,
P79,DEBUG_0,O,I/O,OUTPUT,,,,,,,,,
P80,SEG_OUT<6>,O,I/O,OUTPUT,,,,,,,,,
P81,SEG_OUT<5>,O,I/O,OUTPUT,,,,,,,,,
P82,SEG_OUT<4>,O,I/O,OUTPUT,,,,,,,,,
P83,SEG_OUT<3>,O,I/O,OUTPUT,,,,,,,,,
P84,VCC,,VCCINT,,,,,,,,,,
P85,SEG_OUT<2>,O,I/O,OUTPUT,,,,,,,,,
P86,SEG_OUT<1>,O,I/O,OUTPUT,,,,,,,,,
P87,SEG_OUT<0>,O,I/O,OUTPUT,,,,,,,,,
P88,AC_SEL<3>,O,I/O,OUTPUT,,,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,AC_SEL<2>,O,I/O,OUTPUT,,,,,,,,,
P92,AC_SEL<1>,O,I/O,OUTPUT,,,,,,,,,
P93,AC_SEL<5>,O,I/O,OUTPUT,,,,,,,,,
P94,AC_SEL<0>,O,I/O,OUTPUT,,,,,,,,,
P95,AC_SEL<4>,O,I/O,OUTPUT,,,,,,,,,
P96,M1_EX,O,I/O,OUTPUT,,,,,,,,,
P97,CLK_EX,O,I/O,OUTPUT,,,,,,,,,
P98,BUS_ACK_EX,O,I/O,OUTPUT,,,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,BUS_REQ_EX,I,I/O,INPUT,,,,,,,,,
P101,WAIT_EX,I,I/O,INPUT,,,,,,,,,
P102,HALT_EX,O,I/O,OUTPUT,,,,,,,,,
P103,RFSH_EX,O,I/O,OUTPUT,,,,,,,,,
P104,WR_EX,O,I/O,OUTPUT,,,,,,,,,
P105,RD_EX,O,I/O,OUTPUT,,,,,,,,,
P106,IO_REQ_EX,O,I/O,OUTPUT,,,,,,,,,
P107,MEM_REQ_EX,O,I/O,OUTPUT,,,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,VCC,,VCCIO,,,,,,,,,,
P110,RESET_EX,I,I/O,INPUT,,,,,,,,,
P111,NMI_EX,I,I/O,INPUT,,,,,,,,,
P112,INT_EX,I,I/O,INPUT,,,,,,,,,
P113,IEI_EX,O,I/O,OUTPUT,,,,,,,,,
P114,GND,,GND,,,,,,,,,,
P115,D_EX<7>,I/O,I/O,BIDIR,,,,,,,,,
P116,D_EX<6>,I/O,I/O,BIDIR,,,,,,,,,
P117,D_EX<5>,I/O,I/O,BIDIR,,,,,,,,,
P118,D_EX<4>,I/O,I/O,BIDIR,,,,,,,,,
P119,D_EX<3>,I/O,I/O,BIDIR,,,,,,,,,
P120,D_EX<2>,I/O,I/O,BIDIR,,,,,,,,,
P121,D_EX<1>,I/O,I/O,BIDIR,,,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,D_EX<0>,I/O,I/O,BIDIR,,,,,,,,,
P125,A_EX<15>,O,I/O,OUTPUT,,,,,,,,,
P126,A_EX<14>,O,I/O,OUTPUT,,,,,,,,,
P127,VCC,,VCCIO,,,,,,,,,,
P128,A_EX<13>,O,I/O,OUTPUT,,,,,,,,,
P129,A_EX<12>,O,I/O,OUTPUT,,,,,,,,,
P130,A_EX<11>,O,I/O,OUTPUT,,,,,,,,,
P131,A_EX<10>,O,I/O,OUTPUT,,,,,,,,,
P132,A_EX<9>,O,I/O,OUTPUT,,,,,,,,,
P133,A_EX<8>,O,I/O,OUTPUT,,,,,,,,,
P134,A_EX<7>,O,I/O,OUTPUT,,,,,,,,,
P135,A_EX<6>,O,I/O,OUTPUT,,,,,,,,,
P136,A_EX<5>,O,I/O,OUTPUT,,,,,,,,,
P137,A_EX<4>,O,I/O,OUTPUT,,,,,,,,,
P138,A_EX<3>,O,I/O,OUTPUT,,,,,,,,,
P139,A_EX<2>,O,I/O,OUTPUT,,,,,,,,,
P140,A_EX<1>,O,I/O,OUTPUT,,,,,,,,,
P141,VCC,,VCCINT,,,,,,,,,,
P142,A_EX<0>,O,I/O,OUTPUT,,,,,,,,,
P143,RESET_CPU,O,I/O/GSR,OUTPUT,,,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


